"","Incident","Location.Address","Location.Name","Date","Time","Comments...Nature.of.Fire","Disposition","UCPDI.","Occured.Start.Date","Occured.End.Date","Occured.Start.Time","Occured.End.Time","Stand_inc"
"106","Assist Other Agency / Armed Robbery","5103 S. Woodlawn",NA,"10/28/2014","18:31","UCPD officers detained three suspects that had committed an armed robbery off campus / CPD officers arrested a fourth suspect nearby / Handgun used in commission of the crime and victim's property were recovered / CPD case HX486052","CPD","D00945","10/28/2014",NA,"18:30",NA,"ROBBERY"
"107","Assist Other Agency / Armed Robbery","5100 S. Lake Shore Dr.",NA,"6/29/2014","21:40","UCPD officers located and detained 4 suspects who had taken a cell phone from a victim while armed with a weapon / Suspects, cell phone and replica handgun turned over to CPD / CPD case HX324424","CPD","D00634","6/29/2014",NA,"21:40",NA,"ROBBERY"
"108","Assist Other Agency / Armed Robbery","5635 S. Kimbark ","Public Way","9/29/2015","21:43","Two suspects, one armed with a handgun, took property from a victim walking on the sidewalk off-campus / UCPD officers detained two suspects in possession of a replica handgunand the victim's property / Suspects turned over to and arrested by CPD, charged with armed robbery / Victim reported no injuries / CPD case HY443656","CPD / Arrest","E00611","9/29/2015",NA,"21:30",NA,"ROBBERY"
"109","Assist Other Agency / Assault","5235 S. Harper Court ","Public Way","2/16/2018","15:22","Suspect attempted to strike a security officer with his fist, but missed / Suspect detained by UCPD officer; turned over to CPD and charged with assault / CPD case JB154499","CPD / Arrest","18-00160","2/16/2018",NA,"15:05",NA,"ASSAULT"
"110","Assist Other Agency / Attempt Armed Robbery","51st. & Blackstone",NA,"3/6/2016","21:20","5 suspects, one armed with a handgun, attempted to take property from a victim on the public way off-campus / UCPD officer detained 4 suspects / Suspects turned over to and arrested by CPD / CPD case","CPD","16-00203","3/6/2016",NA,"21:20",NA,"ROBBERY"
"111","Assist Other Agency / Attempt Armed Robbery","6105 S. Cottage Grove",NA,"1/11/2015","12:34","UCPD officers detained one suspect and assisted Chicago police in apprehending a second suspect wanted for an attempted armed robbery / Weapon recovered / Both suspects arrested by CPD - HY111171","CPD","E00027","1/11/2015",NA,"12:34",NA,"ROBBERY"
"112","Assist Other Agency / Attempt Burglary","Madison Park between Kenwood & Dorchester",NA,"11/11/2015","12:35","Two suspects attempted to break into a private residence off campus / UCPD officers located and detained two suspects who were turned over to CPD / Suspects positively identified, arrested and charged / CPD case HY497703","CPD","E00757","11/11/2015",NA,"12:35",NA,"THEFT"
"113","Assist Other Agency / Attempt Robbery","923 E. 45th St.",NA,"8/18/2014","12:47","UCPD officers detained two suspects who used force in an attempt to take a cell phone from a victim on the public way off campus / CPD officers arrested a third suspect / CPD case HX 392537","CPD","D00747","8/18/2014",NA,"12:44",NA,"ROBBERY"
"114","Assist Other Agency / Battery","5120 S. Cornell ","Public Way","8/5/2017","20:51","Two suspects struck victim with fists during a disagreement on the public way off campus / Two suspects detained by UCPD and turned over to CPD officers / CPD case JA378896","CPD / Arrest","17-00651","8/5/2017",NA,"20:51",NA,"BATTERY"
"115","Assist Other Agency / Battery","5630 S. Lake Park ","Metra Platform","10/1/2014","21:53","A group of  suspects struck victim with their fists / UCPD officer checking the platform observed the incident and suspects fled / Two suspects arrested by UCPD and CPD officers after a brief chase / CPD case HX451640 / Victim transported to ER by CFD EMS for examination","CPD","D00872","10/1/2014",NA,"21:50",NA,"BATTERY"
"116","Assist Other Agency / Battery","Blackstone between 54th & 55th",NA,"2/23/2014","19:54","UCPD officers assisted CPD in arrest of individual for domestic battery / CPD case HX162155","CPD","D00190","2/23/2014",NA,"19:54",NA,"BATTERY"
"117","Assist Other Agency / Battery","1346 E. 53rd St. ","Retail Establishment","12/22/2017","17:25","Subject involved in an argument with a store employee, struck the victim / UCPD officer detained the suspect who was arrested by CPD / CPD case JA559739","CPD","17-01147","12/22/2017",NA,"17:25",NA,"BATTERY"
"118","Assist Other Agency / Battery","Harper between 57th & 58th",NA,"7/5/2014","13:07","UCPD officers detained an individual who had pushed victim when told to leave private, off-campus property / Turned over to CPD / CPD case HX332310","CPD","D00643","7/5/2014",NA,"13:00",NA,"BATTERY"
"119","Assist Other Agency / Battery","1400 E. Midway Pl.",NA,"6/8/2014","13:47","UCPD officers assisted CPD in the arrest of an individual who had physically assaulted his ex-girlfriend / CPD case","CPD","D00543","6/8/2014",NA,"13:47",NA,"BATTERY"
"120","Assist Other Agency / Battery","5300 S. Harper",NA,"1/14/2016","22:31","UCPD officer assisted CPD after two individuals engaged in a physical altercation / CPD case HZ116014","CPD","16-00048","1/14/2016",NA,"22:31",NA,"BATTERY"
"121","Assist Other Agency / Burglary","University between 62nd & 63rd",NA,"7/30/2014","13:38","UCPD officers detained an individual who had unlawfully entered a private residence off campus and took a TV / Suspect turned over to CPD / Arrested and charged with burglary / CPD case HX366768","CPD","D00695","7/30/2014",NA,"13:38",NA,"THEFT"
"122","Assist Other Agency / Burglary","Hyde Park between  Ingleside & Ellis",NA,"3/11/2014","10:14","UCPD officer responding to a CPD call of a burglary in progress detained a suspect who was turned over to and arrested by CPD","CPD","D00238","3/11/2014",NA,"10:14",NA,"THEFT"
"123","Assist Other Agency / Burglary","Oakenwald between 45th & 46th",NA,"10/24/2017","18:35","Suspect broke glass in front door to enter off campus private residence / UCPD officers found suspect hiding in bathroom and detained suspect for CPD / Suspect arrested by CPD and charged with burglary / CPD case JA484563","CPD Arrest","17-00927","10/24/2017",NA,"18:30",NA,"THEFT"
"124","Assist Other Agency / Burglary","Ellis between 54th & 55th",NA,"8/23/2014","16:27","UCPD officers detained a suspect who had forcibly entered an apartment off campus and took property / Suspect arrested by CPD and charged with burglary / CPD case HX399603","CPD","D00758","8/23/2014",NA,"16:24",NA,"THEFT"
"125","Assist Other Agency / Burglary","Harper Ct. between 52nd & 53rd",NA,"2/3/2015","3:22","UCPD officers apprehended two individuals who had forced entry to a retail establishment and took property / Suspects and proceeds turned over to CPD / Both suspects charged with burglary /CPD HY137755","CPD","E00089","2/3/2015",NA,"3:22",NA,"THEFT"
"126","Assist Other Agency / Burglary","Drexel between 53rd & 54th",NA,"5/21/2017","10:28","A witness observed 2 unknown suspects enter 3rd floor apartment in off campus apartment building via a window and called police / UCPD officers located and detained two suspects in possession of property taken from the apartment / Suspects turned over to CPD and charged with burglary / CPD case JA272979","CPD / Arrest","17-00409","5/21/2017",NA,"10:25",NA,"THEFT"
"127","Assist Other Agency / Burglary","Hyde Park between 55th & 56th",NA,"10/17/2016","23:46","UCPD and CPD officers arrested 2 subjects who had forced entry to basement of off-campus apartment private apartment building / CPD case HZ478621","CPD","16-00909","10/17/2016",NA,"23:46",NA,"THEFT"
"128","Assist Other Agency / Burglary","Ingleside between 52nd & 53rd",NA,"3/31/2015","6:25","After a brief chase, UCPD officer arrested a suspect who had gained entry to and took property from an off-campus private residence / Property recovered / Suspect turned over to CPD / CPD case HY204576","CPD","E00214","3/31/2015",NA,"6:25",NA,"THEFT"
"129","Assist Other Agency / Burglary","Greenwood between 61st & 62nd",NA,"3/30/2015","13:12","UCPD officer detained a suspect for breaking into an off-campus private residence and taking property / Property recovered / Suspect arrested and charged by CPD / CPD case HY203763","CPD","E00209","3/30/2015",NA,"13:00",NA,"THEFT"
"130","Assist Other Agency / Criminal Damage to Property","1418 E. 53rd St. ","Dunkin' Donuts","11/30/2015","19:27","UCPD officer assisted CPD by locating and detaining a suspect who had shattered a glass door in the restaurant / Suspect turned over to CPD and charged with criminal damage to property / CPD case HY520161","CPD","E00799","11/30/2015",NA,"19:25",NA,"DAMAGE TO PROPERTY"
"131","Assist Other Agency / Criminal Sexual Assault","5714 S. Woodlawn ","Fraternity House","10/14/2015","9:38","UCPD assisted CPD in investigation of a reported criminal sexual assault by a known suspect / CPD case HY459056","CPD","E00661","10/12/2015",NA,"0:20",NA,"SEXUAL ASSAULT"
"132","Assist Other Agency / Criminal Trespass","49th St. between Drexel and Ellis",NA,"4/5/2016","3:37","UCPD officer located and  detained an individual wanted by CPD for trespass to property / CPD case","CPD","16-00277","4/5/2016",NA,"3:37",NA,"TRESPASS"
"133","Assist Other Agency / Criminal Trespass to Land","Kenwood between 57th & 58th",NA,"9/7/2016","11:52","UCPD officer detained two suspects trespassing on the rear stairs at an off-campus private apartment building / Suspects turned over to and arrested by CPD officers / CPD case HZ424120","CPD","16-00753","9/7/2016",NA,"11:50",NA,"TRESPASS"
"134","Assist Other Agency / Criminal Trespass to Vehicle","5500 S. Cornell",NA,"2/25/2014","18:12","UCPD officers detained two individuals in a vehicle that had been reported stolen to Chicago police / CPD case HX164405","CPD","D00196","2/25/2014",NA,"18:12",NA,"TRESPASS"
"135","Assist Other Agency / Criminal Trespass to Vehicle","1144 E. 52nd St.",NA,"3/22/2014","23:14","Subsequent to issuing a traffic citation, UCPD officer discovered the vehicle had been reported stolen from out of state / Motorist detained and turned over to other law enforcement agency","Other Agency","D00279","3/22/2014",NA,"23:14",NA,"TRESPASS"
"136","Assist Other Agency / Criminal Trespass to Vehicle","5100 S. Hyde Park",NA,"6/29/2014","15:11","UCPD officer detained a suspect wanted by CPD / Stolen car and handgun recovered / CPD case HX280973","CPD","D00631","6/29/2014",NA,"15:11",NA,"TRESPASS"
"137","Assist Other Agency / Criminal Trespass to Vehicle","6300 S. Maryland",NA,"4/25/2015","1:33","UCPD officer detained two suspects in a vehicle that had been reported stolen to CPD / Suspects turned over to and arrested by CPD / CPD case","CPD","E00266","4/25/2015",NA,"1:33",NA,"TRESPASS"
"138","Assist Other Agency / Criminal Trespass to Vehicle","5200 S. Woodlawn",NA,"4/8/2014","14:41","UCPD officers detained 4 suspects riding in a vehicle that had been reported stolen to CPD / CPD case HX214597","CPD","D00329","4/8/2014",NA,"14:41",NA,"TRESPASS"
"139","Assist Other Agency / Death Investigation","Woodlawn between 54th & 55th",NA,"2/27/2018","10:24","UCPD officers assisted other agency on well-being check / Resident found deceased in bedroom of off campus private apartment / CPD case JB167133","CPD","18-00198","2/27/2018",NA,"10:24",NA,"WELL BEING CHECK"
"140","Assist Other Agency / Domestic Battery","5220 S. Drexel ","Public Way","7/4/2016","17:42","UCPD officers detained a suspect who had pushed his girlfriend to the ground before fleeing in a car / Suspect arrested by CPD and charged with domestic battery / CPD case HZ335293","CPD","16-00561","7/4/2016",NA,"17:42",NA,"BATTERY"
"141","Assist Other Agency / Domestic Battery","4625 S. Drexel",NA,"3/11/2017","14:33","UCPD officers detained a suspect wanted by CPD for domestic battery and parole violation / Suspect was identified and arrested by CPD","CPD","17-00193","3/11/2017",NA,"14:33",NA,"BATTERY"
"142","Assist Other Agency / Domestic Battery","5758 S. Maryland ","DCAM","6/6/2017","15:30","UCPD officers detained suspect who had struck his girlfriend with his fists at a location outside of the UCPD patrol jurisdiction / Suspect turned over to CPD and charged with domestic battery / CPD case JA295390","CPD","17-00483","6/6/2017",NA,"15:30",NA,"BATTERY"
"143","Assist Other Agency / Domestic Battery","1200 E. Hyde Park ","Public Way","8/6/2016","17:09","UCPD officer detained a suspect wanted by Chicago police for a domestic battery off-campus / Suspect arrested by CPD / CPD case HZ381056","CPD","16-00672","8/6/2016",NA,"16:55",NA,"BATTERY"
"144","Assist Other Agency / Fire","1370 E. 53rd St.",NA,"2/5/2014",NA,"UCPD officers assisted CFD and CPD with traffic control at the scene of a fire in an off-campus mixed use building","Closed","D00128","2/5/2014",NA,"21:13",NA,"OTHER"
"145","Assist Other Agency / Indecent Exposure","5155 S. Cottage Grove",NA,"6/27/2014","12:13","UCPD officer detained suspect wanted by CPD for indecent exposure / Suspect turned over to CPD / CPD case HX320967","CPD","D00617","6/27/2014",NA,"12:00",NA,"DISTURBANCE"
"146","Assist Other Agency / Missing Person","Drexel between 53rd & 54th",NA,"7/23/2015","13:15","UCPD officers located an individual who had been reported missing to CPD / Individual turned over to CPD / CPD HY349533","CPD","E00456","7/23/2015",NA,"13:15",NA,"OTHER"
"147","Assist Other Agency / Motor Vehicle Recovery","1429 E. 60th St.",NA,"11/8/2016","12:14","UCPD officers detained a suspect wanted for the theft of a motor vehicle outside of the UCPD patrol area / Suspect and vehicle turned over to CPD / CPD case HZ507344","CPD","16-00995","11/8/2016",NA,"12:14",NA,"THEFT"
"148","Assist Other Agency / Motor Vehicle Theft","4900 S. Ellis",NA,"4/5/2014","20:55","UCPD officer stopped vehicle for a traffic violation / Driver fled on foot / Vehicle had been reported stolen to CPD / Vehicle recovered and returned to owner / CPD case","CPD","D00317","4/5/2014",NA,"20:55",NA,"THEFT"
"149","Assist Other Agency / Possession of Stolen Motor Vehicle","5400 S. Drexel",NA,"11/4/2014","0:06","UCPD officer detained a driver of a vehicle that had been reported stolen / A hold had been placed on vehicle and driver by Illinois State Police / Both vehicle and driver turned over to ISP","ISP","D00961","11/4/2014",NA,"0:06",NA,"OTHER"
