"","Incident","Location","Reported","Occurred","Comments / Nature of Fire","Disposition","UCPDI#"
"152","Theft","5758 S. Maryland (DCAM)","2/11/14 2:00 PM","2/11/14 2:00 PM","Suspect detained by UCM Public Safety officers and arrested by UCPD officer after taking an unattended iPhone from desk in office","Arrest","D00150"
"153","Information","1009 E. 57th St. (Snell-Hitchcock)","2/11/14 8:05 PM","2/11/14 8:00 PM","Unknown person walked into room looking for a study group / Left after being informed no study group was meeting at that location","Closed","D00151"
"154","Theft","5550 S. University (Crown Field House)","2/11/14 9:42 PM","2/11/14 8:30 PM to 9:15 PM","Unattended iPhone and laptop computer taken from bleachers by unknown person","Open","D00152"
"155","Information / Theft from Person","55th & Dorchester","2/12/14 9:18 AM","2/12/14 9:05 AM","Two males snatched an iPhone from the hand of a victim standing on the public way off campus / CPD case","CPD","D00153"
"156","Obscene Phone Calls","5801 S. Ellis","2/12/14 12:04 PM","12/20/13 to 2/12/14 12:00 PM to 12:00 PM","Victim reports receiving obscene phone calls at various times","Open","D00154"
"157","Information","6035 S. Ellis (Cathey Dining Hall)","2/12/14 12:29 PM","2/10/14 4:00 PM to 9:00 PM","Staff member reported discordant relationship with another employee / Matter to be handled by HR","Closed","D00155"
"158","Theft","5841 S. Maryland (Medical Center)","2/12/14 2:15 PM","2/12/14 12:10 PM to 12:25 PM","Unknown person took wallet from victim's purse as she walked through the Medical Center / Subsequent unauthorized use of bank card reported","Open","D00156"
"159","Theft","800 E. 55th St. (Friend Health Center)","2/12/14 2:28 PM","2/12/14 1:15 PM to 2:00 PM","Unattended cell phone taken from desk top in unsecured office","Open","D00157"
"160","Criminal Trespass to Land","5758 S. Maryland (DCAM)","2/13/14 9:53 AM","2/13/14 9:53 AM","Individual was arrested for trespass by UCPD officer after ignoring repeated warnings","Arrest","D00158"
"161","Theft from Motor Vehicle","6010 S. Dorchester","2/14/14 4:28 PM","2/14/14 7:45 AM to 4:10 PM","Unknown person took the battery from a Chevrolet Cavalier parked on the public way","Open","D00159"
"162","Warrant Arrest","6200 S. Cottage Grove","2/14/14 4:53 PM","2/14/14 4:53 PM","Subsequent to stopping a vehicle for a traffic violation, UCPD officers arrested a passenger wanted on a warrant from Oak Lawn, IL","Arrest","D00160"
"163","Information / Traffic Accident / Personal Injury","1000 E. Midway Pl.","2/15/14 1:24 PM","2/15/14 1:20 PM","Motor vehicle struck pedestrian in the roadway / Victim transported to hospital by CFD EMS / CPD case","CPD","D00161"
"164","Traffic Accident / Property Damage","5528 S. Ellis","2/15/14 2:23 PM","2/15/14 2:23 PM","Bus struck vehicle parked on the street / No injuries / MVA-00213","Closed","D00162"
"165","Information / Death Investigation","1414 E. 59th St. (I-House)","2/15/14 4:09 PM","2/7/14 to 2/15/14 9:50 PM to 4:05 PM","Occupant of room found deceased / CPD investigation HX152454","CPD","D00163"
"166","Lost Property","5640 S. University (Bartlett Commons)","2/16/14 1:54 PM","2/6/14 12:00 PM to 1:00 PM","Man reports losing cell phone while dining at Bartlett Commons","Closed","D00164"
"167","Unlawful Possession of a Weapon","1156 E. Hyde Park (Public Way)","2/16/14 10:28 PM","2/16/14 10:28 PM","UCPD officers arrested a male subject for unlawful possession of a handgun","Arrest","D00165"
"168","Theft","5815 S. Maryland (Mitchell Hospital)","2/17/14 2:11 PM","2/17/14 8:00 AM to 12:00 PM","Unattended, unsecured iPhone taken from patient's room","Open","D00166"
"169","Theft","1101 E. 58th St.  (Rosenwald Hall)","2/17/14 8:05 PM","2/17/14 8:00 AM to 7:30 PM","Unknown person took 6' x 4' UC flag from building exterior","Open","D00167"
"170","Theft from Motor Vehicle","1642 E. 56th St. (Public Way)","2/18/14 2:14 AM","2/18/14 1:10 AM to 2:00 AM","UCPD officers arrested a male subject in possession of a GPS device taken from a car parked on the street off campus","Arrest","D00168"
"171","Theft","1212 E. 59th St. (Ida Noyes)","2/18/14 12:10 PM","2/16/14 6:15 PM to 6:45 PM","Unattended cell phone placed in charger taken from an unsecured room","Open","D00169"
"172","Theft","5530 S. Ellis (Ratner A.C.)","2/18/14 12:13 PM","1/10/14 to 1/11/14 8:00 AM to 10:00 PM","Coat placed in unsecured locker in secured women's varsity locker room taken by an unknown person","Open","D00170"
"173","Information","6054 S. Drexel (UCPD HQ)","2/18/14 3:31 PM","2/14/14 10:25 AM","Woman complained of abuse by a male associate but declined to reveal his identity and declined services offered / Provided with victim assistance information","Closed","D00171"
"174","Lost Property","5700 S. Maryland (Public Way)","2/18/14 3:13 PM","2/18/14 1:10 PM to 1:15 PM","Woman lost wallet, possibly while exiting her car","Closed","D00172"
"175","Information / Motor Vehicle Theft","4800 S. Lake Park","2/18/14 4:38 PM","2/18/14 4:38 PM","UCPD officer attempted to stop a car reported stolen to CPD / Driver sped off striking two vehicles in the process / Officer did not pursue vehicle in the interest of public safety / CPD case HX155880","CPD","D00173"
"176","Information","1100 E. 58th St. (Ryerson 5th floor)","2/18/14 10:29 PM","2/18/14 10:29 PM","UCPD and CFD responded to a fire alarm found pull box activated / False alarm, no fire","Closed","D00174"
"177","Traffic Accident","59th at University","2/19/14 8:16 AM","2/18/14 3:15 PM","Bus struck a parked vehicle / property damage only/ MVA00215","Closed","D00175"
"178","Theft","5700 S. Maryland (CCD)","2/19/14 12:23 PM","2/19/14 6:40 AM to 12:20 PM","Purse taken from secured locker in women's 7th floor locker room","Open","D00176"
"179","Theft","5815 S. Maryland (Mitchell Hospital)","2/19/14 12:45 PM","2/16/14 to 2/17/14 10:00 AM to 12:00 PM","Patient reports earrings were taken after she was admitted to the hospital / Unfounded thru investigative follow-up","Unfounded","D00177"
"180","Information /  Harassing Phone Calls","5540 S. Greenwood (Arts Center)","2/19/14 2:19 PM","2/13/14 9:30 PM","Report of harassing telephone calls","Open","D00178"
"181","Information  / Battery","1321 E.56th St. (Parking Lot)","2/19/14 3:55 PM","2/19/14 3:50 PM","Victim reported she was slapped in the face during the course of an argument regarding parking in off campus private lot / CPD case","CPD","D00179"
"182","Accidental Injury","6054 S. Drexel","2/20/14 5:50 AM","2/19/14 5:40 PM","Staff member injured his left foot while working / Treated and released at ER","Closed","D00180"
"183","Warrant Arrest","1427 E. 60th St.","2/20/14 11:47 AM","2/20/14 11:47 AM","While investigating a traffic accident UCPD officer discovered one of the motorists was wanted on a warrant by the Illinois State Police","Arrest","D00181"
"184","Information / Damage to Vehicle","6054 S. Drexel","2/20/14 4:00 PM","2/19/14 7:00 PM","UC owned vehicle sustained minor damage","Closed","D00182"
"185","Information / Medical Call","50th & Lake Shore Dr.","2/20/14 7:58 PM","2/20/14 1:30 PM to 7:50 PM","Individual became ill after consuming food made with an unknown ingredient / Left ER after refusing treatment","Open","D00183"
"186","Information / Disturbance","901 E. 58th St.(Mitchell ER)","2/20/14 11:26 PM","2/20/14 11:26 PM","UCPD officers assisted staff with an unruly patient / Peace restored","Closed","D00184"
"187","Found Property","6000 S. Woodlawn","2/21/14 12:50 AM","2/21/14 12:45 AM","Abandoned bicycle turned over to UCPD for safekeeping","Closed","D00185"
"188","Information","901 E. 58th St. (Mitchell ER)","2/21/14 8:!3 AM","2/21/14 8:13 AM","Patient disputed amount of currency that had been placed in envelope for safekeeping","Closed","D00186"
"189","Found Property","5800 S. Greenwood (Main Quad)","2/21/14 10:52 AM","2/21/14 8:00 AM","Individual found iPhone and turned it over to UCPD for safekeeping","Closed","D00187"
"190","Liquor Law Violation","5700 S. University (Public Way)","2/22/14 1:59 AM","2/22/14 1:59 AM","Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS","Referred","D00188"
"191","Liquor Law Violation","1174 E. 55th St.","2/23/14 2:03 AM","2/23/14 2:03 AM","Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS","Referred","D00189"
"192","Assist Other Agency / Battery","Blackstone between 54th & 55th","2/23/14 7:54 PM","2/23/14 7:54 PM","UCPD officers assisted CPD in arrest of individual for domestic battery / CPD case HX162155","CPD","D00190"
"193","Theft","901 E. 58th St. (Mitchell ER)","2/24/14 1:17 PM","2/24/14 1:15 PM","Male subject walked into patient's room, grabbed her purse and fled","Open","D00191"
"194","Theft","924 E. 58th St. (Knapp Center","2/24/14 3:23 PM","2/24/14 10:30 AM to 1:30 PM","Unattended coat with card holder in pocket taken from coat rack in unsecured 1st floor office / Coat was found and returned to owner with all property intact","Unfounded","D00192"
"195","Possession of Cannabis","5200 S. Harper (Parking Lot)","2/24/14 8:02 PM","2/24/14 8:02 PM","UCPD officers arrested a male individual for possession of cannabis","Arrest","D00193"
"196","Information / Damage to Vehicle","6054 S. Drexel (Garage)","2/25/14 1:59 PM","2/24/14 5:25 PM","Minor damage noted on UC owned vehicle","Closed","D00194"
"197","Stalking","1115 E. 58th St. (Walker Hall)","2/25/14 4:32 PM","2/25/14 4:20 PM","Male subject continues to harass victim with numerous unwanted contacts after receiving legal notice to cease and desist","Open","D00195"
"198","Assist Other Agency / Criminal Trespass to Vehicle","5500 S. Cornell","2/25/14 6:12 PM","2/25/14 6:12 PM","UCPD officers detained two individuals in a vehicle that had been reported stolen to Chicago police / CPD case HX164405","CPD","D00196"
"199","Found Property","1100 E. 57th St. (Regenstein)","2/26/14 2:22 AM","2/26/14 1:00 AM","iPhone found under desk in lobby of the library was turned over to UCPD for safekeeping","Closed","D00197"
"200","Lost Property","5640 S. Ellis (Construction Site)","2/26/14 10:15 AM","9/22/13 9:00 AM to 5:00 PM","Delayed report / 3 aluminum ""trench boxes"" missing from secured construction site","Closed","D00198"
"201","Battery","5700 S. Maryland (CCD)","2/26/14 2:23 PM","2/25/14 10:55 AM","Staff member kicked a cart being pushed by a second staff member causing abdominal injury / Unfounded through follow up investigation","Unfounded","D00199"
"202","Theft","5639 S. University (Fraternity House)","2/26/14 2:46 PM","2/23/14 12:00 AM to 2:00 AM","Wallet taken from pocket of coat left unattended in an unsecured room during a party","Open","D00200"
"203","Found Property","5600 S. Cottage Grove","2/27/14 1:13 AM","2/27/14 1:13 AM","Bicycle found on the public way inventoried for safekeeping at UCPD","Closed","D00201"
"204","Information / Damage to Vehicles","6054 S. Drexel","2/27/14 9:50 AM","2/25/2014  to 2/27/14 7:10 PM to 9:55 PM","During an inspection, equipment in two UC owned vehicles was found to be damaged","Open","D00202"
"205","Traffic / Warrant Arrest","6300 S. Kenwood","2/27/14 9:42 AM","2/27/14 9:42 AM","UCPD officer arrested a motorist for driving an unregistered vehicle with no insurance and a suspended driver's license / Motorist also arrested on a warrant from the Cook County Sheriff's office","Arrest","D00203"
"206","Assist Other Agency / Recovered Vehicle","5416 S. Cornell","2/27/14 9:22 AM","2/27/14 9:22 AM","UCPD officer recovered an unoccupied vehicle that had been reported stolen to CPD / CPD case HX123236","CPD","D00204"
"207","Information / Burglary","University between 55th & 56th","2/27/14 3:46 PM","2/27/14 9:30 AM to 3:40 PM","Unknown person(s) forced entry to off campus private apartment by forcing the front door and removed property / CPD case","CPD","D00205"
"208","Theft","860 E. 59th St. (Goldblatt)","2/28/14 8:55 AM","2/28/14 8:20 AM to 8:25 AM","Unknown person took extension cord from worksite","Open","D00206"
"209","Harassment by Electronic Means","924 E. 57th St. (Pritzker School)","2/28/14 8:52 AM","12/20/13 to 2/27/14 8:00 AM to 4:00 PM","Staff received unwanted harassing e-mail messages","Open","D00207"
"210","Harassment by Electronic Means","924 E. 57th St. (Pritzker School)","2/28/14 11:53 AM","12/2/13 to 2/28/14 8:00 AM to 11:50 AM","Staff received unwanted harassing e-mail messages","Open","D00208"
"211","Information","Hyde Park between Kenwood & Dorchester","2/28/14 1:49 PM","2/26/14 to 2/28/14 6:30 PM to 1:45 PM","Dependent individual placed in jeopardy when caregiver failed to show up / Emergency caregiver service was obtained","Closed","D00209"
"212","Information / Criminal Trespass","Ellis between 54th & 55th","2/28/14 8:22 PM","2/28/14 8:15 PM","Unknown male entered kitchen of off campus private apartment but fled when confronted by occupant / CPD case","CPD","D00210"
"213","Disturbance","5625 S. University (Fraternity House)","2/28/14 11:37 PM","2/28/14 11:37 PM","Complaints of a loud party / Party shut down / Peace restored","Closed","D00211"
"214","Medical Call","1414 E. 59th St. (I-House)","3/1/14 3:13 AM","3/1/14 3:13 AM","Intoxicated, confused individual entered wrong room, became ill / Transported to ER by CFD EMS","Closed","D00212"
"215","Liquor Law Violation","5650 S. Woodlawn (Public Way)","3/2/14 1:37 AM","3/2/14 1:37 AM","Underage individual became ill after consuming alcoholic beverages / transported to ER By CFD EMS","Referred","D00213"
"216","Information / Battery","57th between Blackstone & Harper","3/3/14 11:17 AM","3/1/14 12:50 AM","Taxi driver grabbed female passenger by the leg as she was about to exit the vehicle off campus / CPD case","CPD","D00214"
"217","Information / Armed Robbery","5100 S. Blackstone","3/3/14 4:34 PM","3/3/14 11:00 AM","Unknown male armed with a knife took money and cell phone from a man walking on the sidewalk off campus / Victim was not injured / CPD HX170757","CPD","D00215"
"218","Battery","901 E. 58th St. (Mitchell ER)","3/3/14 5:29 PM","3/3/14 5:20 PM","Unruly patient, without provocation, struck a staff member with her fist / Arrest by UCPD","Arrest","D00216"
"219","Lost Property","55th & Hyde Park to 57th & Ellis","3/4/14 10:51 AM","3/3/14 8:30 AM to 9:00 AM","Woman reported loss of iPhone","Closed","D00217"
"220","Information","54th between Woodlawn & Kimbark","3/4/14 1:46 PM","2/4/14 to 2/28/14 4:30 PM to 6:30 AM","Report of fraudulent activity / CPD case","CPD","D00218"
"221","Information","5709 S. Ellis (Snell-Hitchcock)","3/4/14 10:17 PM","3/4/14 11:00 AM","Report of a suspicious person seen in the lower level recreation area earlier in the day","Closed","D00219"
"222","Void","Void","Void","Void","Number generated in error","Void","D00220"
"223","Medical Call","5235 S. Lake Park (Parking Garage)","3/5/14 8:05 AM","3/5/14 8:05 AM","Individual suffering chest pains was transported to ER by CFD EMS","Closed","D00221"
"224","Information / Armed Robbery","53rd St. between Blackstone & Harper","3/5/14 1:33 PM","3/4/14 8:00 PM","Unknown male, armed with a handgun, took cash and merchandise from a retail location / CPD HX172603","CPD","D00222"
"225","Liquor Law Violation","5747 S. University (Fraternity House)","3/5/14 11:53 PM","3/5/14 11:53 PM","Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS","Referred","D00223"
