"","Incident","Location.Address","Location.Name","Date","Time","Comments...Nature.of.Fire","Disposition","UCPDI.","Occured Start Date","Occured End Date","Occured Start Time","Occured End Time"
"146","Theft","5550 S. University ","Crown Field House","2/11/14","21:42","Unattended iPhone and laptop computer taken from bleachers by unknown person","Open","D00152","2/11/14",NA,"20:30","21:15"
"147","Information / Theft from Person","55th & Dorchester",NA,"2/12/14","09:18","Two males snatched an iPhone from the hand of a victim standing on the public way off campus / CPD case","CPD","D00153","2/12/14",NA,"09:05",NA
"148","Obscene Phone Calls","5801 S. Ellis",NA,"2/12/14","12:04","Victim reports receiving obscene phone calls at various times","Open","D00154","12/20/13","2/12/14","12:00","12:00"
"149","Information","6035 S. Ellis ","Cathey Dining Hall","2/12/14","12:29","Staff member reported discordant relationship with another employee / Matter to be handled by HR","Closed","D00155","2/10/14",NA,"16:00","21:00"
"150","Theft","5841 S. Maryland ","Medical Center","2/12/14","14:15","Unknown person took wallet from victim's purse as she walked through the Medical Center / Subsequent unauthorized use of bank card reported","Open","D00156","2/12/14",NA,"12:10","12:25"
"151","Theft","800 E. 55th St. ","Friend Health Center","2/12/14","14:28","Unattended cell phone taken from desk top in unsecured office","Open","D00157","2/12/14",NA,"13:15","14:00"
"152","Criminal Trespass to Land","5758 S. Maryland ","DCAM","2/13/14","09:53","Individual was arrested for trespass by UCPD officer after ignoring repeated warnings","Arrest","D00158","2/13/14",NA,"09:53",NA
"153","Theft from Motor Vehicle","6010 S. Dorchester",NA,"2/14/14","16:28","Unknown person took the battery from a Chevrolet Cavalier parked on the public way","Open","D00159","2/14/14",NA,"07:45","16:10"
"154","Warrant Arrest","6200 S. Cottage Grove",NA,"2/14/14","16:53","Subsequent to stopping a vehicle for a traffic violation, UCPD officers arrested a passenger wanted on a warrant from Oak Lawn, IL","Arrest","D00160","2/14/14",NA,"16:53",NA
"155","Information / Traffic Accident / Personal Injury","1000 E. Midway Pl.",NA,"2/15/14","13:24","Motor vehicle struck pedestrian in the roadway / Victim transported to hospital by CFD EMS / CPD case","CPD","D00161","2/15/14",NA,"13:20",NA
"156","Traffic Accident / Property Damage","5528 S. Ellis",NA,"2/15/14","14:23","Bus struck vehicle parked on the street / No injuries / MVA-00213","Closed","D00162","2/15/14",NA,"14:23",NA
"157","Information / Death Investigation","1414 E. 59th St. ","I-House","2/15/14","16:09","Occupant of room found deceased / CPD investigation HX152454","CPD","D00163","2/7/14","2/15/14","21:50","16:05"
"158","Lost Property","5640 S. University ","Bartlett Commons","2/16/14","13:54","Man reports losing cell phone while dining at Bartlett Commons","Closed","D00164","2/6/14",NA,"12:00","13:00"
"159","Unlawful Possession of a Weapon","1156 E. Hyde Park ","Public Way","2/16/14","22:28","UCPD officers arrested a male subject for unlawful possession of a handgun","Arrest","D00165","2/16/14",NA,"22:28",NA
"160","Theft","5815 S. Maryland ","Mitchell Hospital","2/17/14","14:11","Unattended, unsecured iPhone taken from patient's room","Open","D00166","2/17/14",NA,"08:00","12:00"
"161","Theft","1101 E. 58th St.  ","Rosenwald Hall","2/17/14","20:05","Unknown person took 6' x 4' UC flag from building exterior","Open","D00167","2/17/14",NA,"08:00","19:30"
"162","Theft from Motor Vehicle","1642 E. 56th St. ","Public Way","2/18/14","02:14","UCPD officers arrested a male subject in possession of a GPS device taken from a car parked on the street off campus","Arrest","D00168","2/18/14",NA,"01:10","02:00"
"163","Theft","1212 E. 59th St. ","Ida Noyes","2/18/14","12:10","Unattended cell phone placed in charger taken from an unsecured room","Open","D00169","2/16/14",NA,"18:15","18:45"
"164","Theft","5530 S. Ellis ","Ratner A.C.","2/18/14","12:13","Coat placed in unsecured locker in secured women's varsity locker room taken by an unknown person","Open","D00170","1/10/14","1/11/14","08:00","22:00"
"165","Information","6054 S. Drexel ","UCPD HQ","2/18/14","15:31","Woman complained of abuse by a male associate but declined to reveal his identity and declined services offered / Provided with victim assistance information","Closed","D00171","2/14/14",NA,"10:25",NA
"166","Lost Property","5700 S. Maryland ","Public Way","2/18/14","15:13","Woman lost wallet, possibly while exiting her car","Closed","D00172","2/18/14",NA,"13:10","13:15"
"167","Information / Motor Vehicle Theft","4800 S. Lake Park",NA,"2/18/14","16:38","UCPD officer attempted to stop a car reported stolen to CPD / Driver sped off striking two vehicles in the process / Officer did not pursue vehicle in the interest of public safety / CPD case HX155880","CPD","D00173","2/18/14",NA,"16:38",NA
"168","Information","1100 E. 58th St. ","Ryerson 5th floor","2/18/14","22:29","UCPD and CFD responded to a fire alarm found pull box activated / False alarm, no fire","Closed","D00174","2/18/14",NA,"22:29",NA
"169","Traffic Accident","59th at University",NA,"2/19/14","08:16","Bus struck a parked vehicle / property damage only/ MVA00215","Closed","D00175","2/18/14",NA,"15:15",NA
"170","Theft","5700 S. Maryland ","CCD","2/19/14","12:23","Purse taken from secured locker in women's 7th floor locker room","Open","D00176","2/19/14",NA,"06:40","12:20"
"171","Theft","5815 S. Maryland ","Mitchell Hospital","2/19/14","12:45","Patient reports earrings were taken after she was admitted to the hospital / Unfounded thru investigative follow-up","Unfounded","D00177","2/16/14","2/17/14","10:00","12:00"
"172","Information /  Harassing Phone Calls","5540 S. Greenwood ","Arts Center","2/19/14","14:19","Report of harassing telephone calls","Open","D00178","2/13/14",NA,"21:30",NA
"173","Information  / Battery","1321 E.56th St. ","Parking Lot","2/19/14","15:55","Victim reported she was slapped in the face during the course of an argument regarding parking in off campus private lot / CPD case","CPD","D00179","2/19/14",NA,"15:50",NA
"174","Accidental Injury","6054 S. Drexel",NA,"2/20/14","05:50","Staff member injured his left foot while working / Treated and released at ER","Closed","D00180","2/19/14",NA,"17:40",NA
"175","Warrant Arrest","1427 E. 60th St.",NA,"2/20/14","11:47","While investigating a traffic accident UCPD officer discovered one of the motorists was wanted on a warrant by the Illinois State Police","Arrest","D00181","2/20/14",NA,"11:47",NA
"176","Information / Damage to Vehicle","6054 S. Drexel",NA,"2/20/14","16:00","UC owned vehicle sustained minor damage","Closed","D00182","2/19/14",NA,"19:00",NA
"177","Information / Medical Call","50th & Lake Shore Dr.",NA,"2/20/14","19:58","Individual became ill after consuming food made with an unknown ingredient / Left ER after refusing treatment","Open","D00183","2/20/14",NA,"13:30","19:50"
"178","Information / Disturbance","901 E. 58th St.","Mitchell ER","2/20/14","23:26","UCPD officers assisted staff with an unruly patient / Peace restored","Closed","D00184","2/20/14",NA,"23:26",NA
"179","Found Property","6000 S. Woodlawn",NA,"2/21/14","00:50","Abandoned bicycle turned over to UCPD for safekeeping","Closed","D00185","2/21/14",NA,"00:45",NA
"180","Information","901 E. 58th St. ","Mitchell ER","2/21/14",NA,"Patient disputed amount of currency that had been placed in envelope for safekeeping","Closed","D00186","2/21/14",NA,"08:13",NA
"181","Found Property","5800 S. Greenwood ","Main Quad","2/21/14","10:52","Individual found iPhone and turned it over to UCPD for safekeeping","Closed","D00187","2/21/14",NA,"08:00",NA
"182","Liquor Law Violation","5700 S. University ","Public Way","2/22/14","01:59","Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS","Referred","D00188","2/22/14",NA,"01:59",NA
"183","Liquor Law Violation","1174 E. 55th St.",NA,"2/23/14","02:03","Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS","Referred","D00189","2/23/14",NA,"02:03",NA
"184","Assist Other Agency / Battery","Blackstone between 54th & 55th",NA,"2/23/14","19:54","UCPD officers assisted CPD in arrest of individual for domestic battery / CPD case HX162155","CPD","D00190","2/23/14",NA,"19:54",NA
"185","Theft","901 E. 58th St. ","Mitchell ER","2/24/14","13:17","Male subject walked into patient's room, grabbed her purse and fled","Open","D00191","2/24/14",NA,"13:15",NA
"186","Theft","924 E. 58th St. ","Knapp Center","2/24/14","15:23","Unattended coat with card holder in pocket taken from coat rack in unsecured 1st floor office / Coat was found and returned to owner with all property intact","Unfounded","D00192","2/24/14",NA,"10:30","13:30"
"187","Possession of Cannabis","5200 S. Harper ","Parking Lot","2/24/14","20:02","UCPD officers arrested a male individual for possession of cannabis","Arrest","D00193","2/24/14",NA,"20:02",NA
"188","Information / Damage to Vehicle","6054 S. Drexel ","Garage","2/25/14","13:59","Minor damage noted on UC owned vehicle","Closed","D00194","2/24/14",NA,"17:25",NA
"189","Stalking","1115 E. 58th St. ","Walker Hall","2/25/14","16:32","Male subject continues to harass victim with numerous unwanted contacts after receiving legal notice to cease and desist","Open","D00195","2/25/14",NA,"16:20",NA
"190","Assist Other Agency / Criminal Trespass to Vehicle","5500 S. Cornell",NA,"2/25/14","18:12","UCPD officers detained two individuals in a vehicle that had been reported stolen to Chicago police / CPD case HX164405","CPD","D00196","2/25/14",NA,"18:12",NA
"191","Found Property","1100 E. 57th St. ","Regenstein","2/26/14","02:22","iPhone found under desk in lobby of the library was turned over to UCPD for safekeeping","Closed","D00197","2/26/14",NA,"01:00",NA
"192","Lost Property","5640 S. Ellis ","Construction Site","2/26/14","10:15","Delayed report / 3 aluminum ""trench boxes"" missing from secured construction site","Closed","D00198","9/22/13",NA,"09:00","17:00"
"193","Battery","5700 S. Maryland ","CCD","2/26/14","14:23","Staff member kicked a cart being pushed by a second staff member causing abdominal injury / Unfounded through follow up investigation","Unfounded","D00199","2/25/14",NA,"10:55",NA
"194","Theft","5639 S. University ","Fraternity House","2/26/14","14:46","Wallet taken from pocket of coat left unattended in an unsecured room during a party","Open","D00200","2/23/14",NA,"00:00","02:00"
"195","Found Property","5600 S. Cottage Grove",NA,"2/27/14","01:13","Bicycle found on the public way inventoried for safekeeping at UCPD","Closed","D00201","2/27/14",NA,"01:13",NA
"196","Information / Damage to Vehicles","6054 S. Drexel",NA,"2/27/14","09:50","During an inspection, equipment in two UC owned vehicles was found to be damaged","Open","D00202","2/25/2014","2/27/14","19:10","21:55"
"197","Traffic / Warrant Arrest","6300 S. Kenwood",NA,"2/27/14","09:42","UCPD officer arrested a motorist for driving an unregistered vehicle with no insurance and a suspended driver's license / Motorist also arrested on a warrant from the Cook County Sheriff's office","Arrest","D00203","2/27/14",NA,"09:42",NA
"198","Assist Other Agency / Recovered Vehicle","5416 S. Cornell",NA,"2/27/14","09:22","UCPD officer recovered an unoccupied vehicle that had been reported stolen to CPD / CPD case HX123236","CPD","D00204","2/27/14",NA,"09:22",NA
"199","Information / Burglary","University between 55th & 56th",NA,"2/27/14","15:46","Unknown person(s) forced entry to off campus private apartment by forcing the front door and removed property / CPD case","CPD","D00205","2/27/14",NA,"09:30","15:40"
"200","Theft","860 E. 59th St. ","Goldblatt","2/28/14","08:55","Unknown person took extension cord from worksite","Open","D00206","2/28/14",NA,"08:20","08:25"
"201","Harassment by Electronic Means","924 E. 57th St. ","Pritzker School","2/28/14","08:52","Staff received unwanted harassing e-mail messages","Open","D00207","12/20/13","2/27/14","08:00","16:00"
"202","Harassment by Electronic Means","924 E. 57th St. ","Pritzker School","2/28/14","11:53","Staff received unwanted harassing e-mail messages","Open","D00208","12/2/13","2/28/14","08:00","11:50"
"203","Information","Hyde Park between Kenwood & Dorchester",NA,"2/28/14","13:49","Dependent individual placed in jeopardy when caregiver failed to show up / Emergency caregiver service was obtained","Closed","D00209","2/26/14","2/28/14","18:30","13:45"
"204","Information / Criminal Trespass","Ellis between 54th & 55th",NA,"2/28/14","20:22","Unknown male entered kitchen of off campus private apartment but fled when confronted by occupant / CPD case","CPD","D00210","2/28/14",NA,"20:15",NA
"205","Disturbance","5625 S. University ","Fraternity House","2/28/14","23:37","Complaints of a loud party / Party shut down / Peace restored","Closed","D00211","2/28/14",NA,"23:37",NA
"206","Medical Call","1414 E. 59th St. ","I-House","3/1/14","03:13","Intoxicated, confused individual entered wrong room, became ill / Transported to ER by CFD EMS","Closed","D00212","3/1/14",NA,"03:13",NA
"207","Liquor Law Violation","5650 S. Woodlawn ","Public Way","3/2/14","01:37","Underage individual became ill after consuming alcoholic beverages / transported to ER By CFD EMS","Referred","D00213","3/2/14",NA,"01:37",NA
"208","Information / Battery","57th between Blackstone & Harper",NA,"3/3/14","11:17","Taxi driver grabbed female passenger by the leg as she was about to exit the vehicle off campus / CPD case","CPD","D00214","3/1/14",NA,"00:50",NA
"209","Information / Armed Robbery","5100 S. Blackstone",NA,"3/3/14","16:34","Unknown male armed with a knife took money and cell phone from a man walking on the sidewalk off campus / Victim was not injured / CPD HX170757","CPD","D00215","3/3/14",NA,"11:00",NA
"210","Battery","901 E. 58th St. ","Mitchell ER","3/3/14","17:29","Unruly patient, without provocation, struck a staff member with her fist / Arrest by UCPD","Arrest","D00216","3/3/14",NA,"17:20",NA
"211","Lost Property","55th & Hyde Park to 57th & Ellis",NA,"3/4/14","10:51","Woman reported loss of iPhone","Closed","D00217","3/3/14",NA,"08:30","09:00"
"212","Information","54th between Woodlawn & Kimbark",NA,"3/4/14","13:46","Report of fraudulent activity / CPD case","CPD","D00218","2/4/14","2/28/14","16:30","06:30"
"213","Information","5709 S. Ellis ","Snell-Hitchcock","3/4/14","22:17","Report of a suspicious person seen in the lower level recreation area earlier in the day","Closed","D00219","3/4/14",NA,"11:00",NA
