"","Incident","Location","Address","Lat","Long","Occured","Disposition","Notes","temp_inc","lat_long","Latitude","Longitude"
"846","accident : motor vehicle","illinois institute of technology: mies campus: 35th street","3360 south michigan ave",NA,NA,2016-07-19 09:50:00,"police notified notes: iitpsd responded to a motor vehicle vs pedestrian accident at 35th/state street.   thank you","iitpsd responded to a motor vehicle vs pedestrian accident at 35th/state street. thank you","ACCIDENT","41.8330588,-87.623592",41.8330588,-87.623592
"847","robbery","illinois institute of technology: mies campus: street locations: 31st street","3300 south michigan ave",NA,NA,2016-07-18 16:30:00,"cleared – no further action notes: an iit student came to farr hall and said he was robbed at 31st and michigan near the bus stop.   thank you","an iit student came to farr hall and said he was robbed at 31st and michigan near the bus stop. thank you","ROBBERY","41.8346808,-87.6233541",41.8346808,-87.6233541
"848","robbery : strong-arm hand/fists/feet","illinois institute of technology: mies campus: hermann hall","3241 south federal street",NA,NA,2016-07-15 15:15:00,"police notified notes: iitpsd responded to a report of a robbery of an iit employee.","iitpsd responded to a report of a robbery of an iit employee.","ROBBERY","41.8356669,-87.6283867",41.8356669,-87.6283867
"849","alarm : fire","illinois institute of technology: mies campus: mccormick student village","3241 south wabash ave",NA,NA,2016-07-16 04:41:00,"closed – no further action possible notes: iitpsd responded to msv for an activated fire alarm.","iitpsd responded to msv for an activated fire alarm.","ALARM","41.8355909,-87.6249574",41.8355909,-87.6249574
"850","alarm : fire","illinois institute of technology: mies campus-mccormick student village","3241 south wabash ave",NA,NA,2016-07-17 10:33:00,"cleared – no further action notes: iitpsd responded to a activated fire alarm at msv.","iitpsd responded to a activated fire alarm at msv.","ALARM","41.8355909,-87.6249574",41.8355909,-87.6249574
"851","suspicious activity","illinois institute of technology: moffett campus","6502 south archer rd. bedford park, il",NA,NA,2016-07-17 13:50:00,"cleared- no further action notes: iitpsd responded to the iit moffett campus visitor’s lot for a suspicious vehicle.   thank you","iitpsd responded to the iit moffett campus visitor’s lot for a suspicious vehicle. thank you","SUSPICION","41.773019,-87.817757",41.773019,-87.817757
"852","robbery : attempted","illinois institute of technology: mies campus: chapel","65 east 32nd street",NA,NA,2016-07-13 10:20:00,"closed pending adtl info notes: iitpsd responded to an attempted strong arm robbery of an iit student. iitpsd apprehended the offender who was then turned over to cpd.","iitpsd responded to an attempted strong arm robbery of an iit student. iitpsd apprehended the offender who was then turned over to cpd.","ROBBERY","41.8362593,-87.6243611",41.8362593,-87.6243611
"853","damage to property","illinois institute of technology: kent campus","565 west adams street",NA,NA,2016-07-13 16:05:00,"police notified notes: iitpsd observed a damaged city of chicago no parking sign pole on the south side of kent college of law   thank you","iitpsd observed a damaged city of chicago no parking sign pole on the south side of kent college of law thank you","DAMAGE TO PROPERTY","41.8791377,-87.6422057",41.8791377,-87.6422057
"854","robbery : attempted","illinois institute of technology: mies campus: wabash",NA,NA,NA,2016-07-11 01:17:00,"closed – no further action possible notes: iitpsd responded to msv for an attempted robbery report.","iitpsd responded to msv for an attempted robbery report.","ROBBERY","NA",NA,NA
"855","assault-simple : hands/fists/feet","illinois institute of technology: mies campus: street locations: 31st street","31st   and  south federal str",NA,NA,2016-07-11 09:26:00,"police notified notes: iitpsd responded to 31st & federal for a assault in progress.","iitpsd responded to 31st & federal for a assault in progress.","ASSAULT","41.8382603,-87.6289524",41.8382603,-87.6289524
"856","robbery","illinois institute of technology: off campus location","3300 south michigan ave",NA,NA,2016-07-11 15:26:00,"closed pending adtl info notes: iitpsd took a report at farr hall from two iit students who said they were robbed near 33rd and king drive-off campus.","iitpsd took a report at farr hall from two iit students who said they were robbed near 33rd and king drive-off campus.","ROBBERY","41.8346808,-87.6233541",41.8346808,-87.6233541
"857","investigation","illinois institute of technology: mies campus: mccormick student village","3241 south wabash ave",NA,NA,2016-07-11 22:10:00,"cleared – no further action notes: iitpsd responded to msv south hall for a smell of marijuana   thank you","iitpsd responded to msv south hall for a smell of marijuana thank you","NARCOTICS","41.8355909,-87.6249574",41.8355909,-87.6249574
"858","trespassing : bar notice","illinois institute of technology: mies campus: mccormick tribune campus center","3360 south michigan ave",NA,NA,2016-07-08 16:40:00,"cleared – no further action notes: bar notice issued to former student.","bar notice issued to former student.","TRESPASS","41.8330588,-87.623592",41.8330588,-87.623592
"859","robbery : attempted","illinois institute of technology: mies campus: gunsaulus hall","3140 south michigan ave",NA,NA,2016-07-08 17:40:00,"cleared – no further action notes: iitpsd responded to a report of an attempted robbery of iit students.","iitpsd responded to a report of an attempted robbery of iit students.","ROBBERY","41.837081,-87.623923",41.837081,-87.623923
"860","alarm : fire","illinois institute of technology: mies campus: wishnick hall","3255 south dearborn street",NA,NA,2016-07-09 09:50:00,"closed – no further action possible notes: iitpsd responded to wishnick hall for an activated fire alarm. it was later determined to be a false alarm.","iitpsd responded to wishnick hall for an activated fire alarm. it was later determined to be a false alarm.","ALARM","41.8395245,-87.6282449",41.8395245,-87.6282449
"861","assault-simple","illinois institute of technology: mies campus: michigan","34th   and  south michigan ave",NA,NA,2016-07-09 17:10:00,"police notified notes: iit student injured by a small projectile on 34th and michigan.   thank you","iit student injured by a small projectile on 34th and michigan. thank you","MEDICAL INCIDENT","41.83288,-87.6232922",41.83288,-87.6232922
"862","suspicious activity","illinois institute of technology: mies campus: tower","10 west 35th street",NA,NA,2016-07-07 11:45:00,"closed pending adtl info notes: iitpsd was contacted regarding a former student attempting to gain access to a computer lab.   thank you","iitpsd was contacted regarding a former student attempting to gain access to a computer lab. thank you","TRESPASS","41.8313959,-87.6272312",41.8313959,-87.6272312
"863","motor vehicle theft : other vehicles","illinois institute of technology: mies campus: other: soccer field","31st street and south federal street",NA,NA,2016-07-05 08:20:00,"police notified notes: iitpsd responded to keating gym for a motor vehicle theft involving an  off road vehicle.","iitpsd responded to keating gym for a motor vehicle theft involving an off road vehicle.","THEFT","41.8382603,-87.6289524",41.8382603,-87.6289524
"864","stalking","illinois institute of technology: mies campus: stuart building","10 west 31st street",NA,NA,2016-07-05 10:15:00,"student affairs notified notes: iitpsd responded to a report of stalking involving iit community members.   thank you","iitpsd responded to a report of stalking involving iit community members. thank you","STALKING","41.8387343,-87.6273991",41.8387343,-87.6273991
"865","injured/sick person : report only : student","illinois institute of technology: mies campus: mccormick student village","3241 south wabash ave",NA,NA,2016-07-01 02:20:00,"housing notified notes: iitpsd responded to msv for an injured/sick person report","iitpsd responded to msv for an injured/sick person report","MEDICAL INCIDENT","41.8355909,-87.6249574",41.8355909,-87.6249574
"866","drug/narcotic offense","illinois institute of technology: mies campus: mccormick student village","3241 south wabash ave",NA,NA,2016-07-01 02:45:00,"housing notified notes: iitpsd responded to msv for a narcotics report","iitpsd responded to msv for a narcotics report","NARCOTICS","41.8355909,-87.6249574",41.8355909,-87.6249574
"867","motor vehicle theft : other vehicles","illinois institute of technology: mies campus: zone 6","3360 south michigan ave",NA,NA,2016-07-01 13:00:00,"closed – no further action possible notes: iitpsd took a motor vehicle theft report involving an off road electric facilities vehicle.","iitpsd took a motor vehicle theft report involving an off road electric facilities vehicle.","THEFT","41.8330588,-87.623592",41.8330588,-87.623592
"868","injured/sick person : non-emergency medical transport","illinois institute of technology: mies campus: state street village","3301 south state",NA,NA,2016-07-01 22:01:00,"cleared – no further action notes: non-emergency transport to mercy hospital","non-emergency transport to mercy hospital","MEDICAL INCIDENT","41.8346518,-87.6264893",41.8346518,-87.6264893
